Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
SILDENAFILO CITRATO EQUIVALENTE A SILDENAFILO BASE,9,N/A
AMIODARONA CLORHIDRATO,9,N/A
VALINA USP,9,N/A
ACEITE DE SOYA,9,N/A
KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO BASE,9,N/A
MALEATO DE CLORFENIRAMINA,9,N/A
FLUOXETINA CLORHIDRATO EQUIVALENTE A FLUOXETINA BASE,9,N/A
CLORHIDRATO DE LIDOCAINA,9,N/A
RANITIDINA CLORHIDRATO,9,N/A
LACTOSA,9,N/A
ASPARTAME,9,N/A
QUETIAPINA FUMARATO EQUIVALENTE A QUETIAPINA BASE,9,N/A
VALERATO DE ESTRADIOL,9,N/A
EUCALIPTOL,9,N/A
LINCOMICINA CLORHIDRATO EQUIVALENTE A LINCOMICINA BASE,9,N/A
BISOPROLOL FUMARATO,9,N/A
NAPROXENO SÓDICO,9,N/A
PAMOATO DE PIRANTEL EQUIVALENTE A PIRANTEL BASE,9,N/A
GLICEROL,9,N/A
AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,9,N/A
VITAMINAC,9,N/A
SULFATO DE MANGANESO,9,N/A
CITRATO DE SODIO DIHIDRATO,9,N/A
IBUPROFENO USP,8,N/A
NITRATO DE POTASIO,8,N/A
FUSIDATO DE SODIO,8,N/A
CARBOXIMETILCELULOSA SODICA,8,N/A
DICLOFENAC SODICO,8,N/A
NITRENDIPINO,8,N/A
PENICILINA G BENZATINICA,8,N/A
CITRATO DE SODIO,8,N/A
SERINA USP,8,N/A
OFLOXACINA,8,N/A
VITAMINA B1 (TIAMINA),8,N/A
TETRACICLINA CLORHIDRATO,8,N/A
LANSOPRAZOL,8,N/A
VITAMINA A (PALMITATO),8,N/A
MENTOL CRISTALES,8,N/A
NIFEDIPINA,8,N/A
AMITRIPTILINA CLORHIDRATO,8,N/A
BICALUTAMIDA,8,N/A
BUPIVACAINA CLORHIDRATO,8,N/A
TIAMINA MONONITRATO (VITAMINA B1),8,N/A
CIPROFLOXACINA CLORHIDRATO MONOHIDRATO EQUIVALENTE A CIPROFLOXACINA BASE,8,N/A
DEXIBUPROFENO,8,N/A
PECTINA,8,N/A
ACIDO ASPARTICO,8,N/A
POLIVINILPIRROLIDONA,8,N/A
AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO,8,N/A
TEOFILINA,8,N/A
OLMESARTAN MEDOXOMILO,8,N/A
OXICODONA CLORHIDRATO,8,N/A
CALCIO PANTOTENATO,8,N/A
ANTIPIRINA,8,N/A
VITAMINA K1,8,N/A
ROXITROMICINA,8,N/A
YODURO DE POTASIO EQUIVALENTE A YODO,8,N/A
RITONAVIR,8,N/A
METIONINA USP,8,N/A
EXTRACTO FLUIDO DE RUIBARBO,8,N/A
CIPROFLOXACINO,8,N/A
ACIDO ASCORBICO (VITAMINA C),8,N/A
FENILALANINA USP,8,N/A
GLICINA USP,8,N/A
ERITROMICINA BASE,8,N/A
CLONAZEPAM,8,N/A
CELULOSA MICROCRISTALINA,8,N/A
TETRAHIDROZOLINA CLORHIDRATO,8,N/A
BROMHIDRATO DE DEXTROMETORFANO,8,N/A
DICLOXACILINA SODICA MONOHIDRATO EQUIVALENTE A DICLOXACILINA BASE,8,N/A
ACIDO CITRICO,8,N/A
ALANTOINA,7,N/A
BROMURO DE ROCURONIO,7,N/A
VITAMINA A PALMITATO EQUIVALENTE A VITAMINA A,7,N/A
BROMAZEPAM,7,N/A
DIHIDROCODEINA BITARTRATO,7,N/A
