Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
KETOCONAZOLE,1,N/A
FOSFATO TRICALCICO( EQUIVALENTE A 2.52 G. DE CALCIO ELEMENTAL Y 1.204 GRAMOS DE FOSFORO ELEMENTAL),1,N/A
ACIDO PANTOTENICO (CONTENIDO EN 21.8 MG DE PANTOTENATO DE CALCIO),1,N/A
HIDROGENOFUMARATO DE KETOTIFENO EQUIVALENTE KETOTIFENO BASE,1,N/A
ALCOHOL ETILICO(IMPOTABILIZADO 96 %),1,N/A
SULFATO FERROSO HEPTAHIDRATADO. CORRESPONDIENTE A 0.5G DE HIERRO ELEMENTAL,1,N/A
BETACAROTENO (EQUIVALENTE A 10000 U.I. DE VITAMINA A),1,N/A
EXTRACTO NORMALIZADO DE LA CORTEZA DEL PINUS PINASTER(PINO MARITIMO) EQUIVALENTE A 28.8 MG DE ANTOCIANIDINAS,1,N/A
OXIGENO DEL 90 AL 96% V/V,1,N/A
DICLOFENACO DIETILAMONIO (EQUIVALENTE A 1 G DE DICLOFENACO),1,N/A
PARACETAMOL EXTRAFINO. BP,1,N/A
BUPIVACAINACLORHIDRATO,1,N/A
METRONIDAZOL BENZOIL 8.159GEQUIVALENTE A METRONIDAZOL BASE,1,N/A
COLESTIRAMINA ANHIDRA,1,N/A
GANCICLOVIR SÓDICO EQUIVALENTE A GANCICLOVIR BASE 500 MG,1,N/A
CIPROFLOXACINO CLORHIDRATO MONOHIDRATADO EQUIVALENTE A CIPROFLOXACINO BASE,1,N/A
GEMCITABINA CLORHIDRATO EQUIVALENTE A 1G DE GEMCITABINA BASE,1,N/A
VIATMINA K,1,N/A
ERITROMICINA ESTEARATO USP 60% EQUIVALENTE A 500 MG DE BASE,1,N/A
ALMIDON HIDROXIETILADO (POLI (O-2-HIDROXIETIL) ALMIDON. GRADO DE SUSTITUCION 0.45 -0.55. PESO MOLECULAR 200.000),1,N/A
CANTIDAD QUE CORRESPONDE A VALPROATO DE SODIO,1,N/A
CLORHIDRATO DE PSEUDOEFEDRINA U.S.P,1,N/A
CAOLIN LIVIANO (SILICATO DE ALUMINIO HIDRATADO),1,N/A
SUMATRIPTAN SUCCINATO 8.4 MG EQUIVALENTES A SUMATRIPTAN,1,N/A
MALEATO DE TIMOLOL EQUIVALENTE A LA BASE DE TIMOLOL DE 5.00 MG,1,N/A
NAPROXENO SÓDICO EQUIVALENTE A NAPROXENO 250.0 MG,1,N/A
NORADRENALINA BITARTRATO MONOHIDRATO 8MG EQUIVALENTE A NORADRENALINA BASE,1,N/A
OMEPRAZOL SODICO (EQUIVALENTE A 40.00MG DE OMEPRAZOL),1,N/A
VITAMINA B6 PIRIDOXINA,1,N/A
CLINDAMICINA FOSFATO EQUIVALENTE ACLINDAMICINA BASE,1,N/A
D-BIOTINA,1,N/A
VITAMINA A PALMITATO (1.700.000 UI/G) EQUIVALENTE A VITAMINA A,1,N/A
CLORURO DE CALCIO X 2H2O,1,N/A
ALCOHOL ETILICO IMPOTABILIZADO (96%),1,N/A
SULFATO DE CONDROITINA,1,N/A
PULPA DE MANZANA,1,N/A
VITAMINA D USP,1,N/A
VITAMINA B12 (1:1000) EQUIVALENTE A 6.0 MCG DE VITAMINA B12,1,N/A
SULFATO DE TOBRAMICINA EQUIVALENTE A TOBRAMICINA BASE,1,N/A
CEFOTAXIMA SODICA EQUIVALENTE A BASE 1 G.,1,N/A
CASCARA DE ISPAGULA,1,N/A
ACIDO CLORHIDRICO 25%,1,N/A
VITAMINA B2 (RIBOFLAVINA FOSFATO) EQUIVALENTE A RIBOFLAVINA BASE,1,N/A
SULFATO FERRICO,1,N/A
KETOTIFENOFUMARATO (EQUIVALENTE A 1.0MG DE KETITOFENO BASE),1,N/A
D-SORBITA,1,N/A
VITAMINA E (ACETATO DE DL ALFA TOCOFERILO) EQUIVALENTE A 1000 U.I. DE VITAMINA E,1,N/A
PETROLATO BLANCO,1,N/A
ATORVASTATINA CALCICA TRIHIDRATO 21.68MG,1,N/A
ESTROGENOS CONJUGADOS (30 MG/G) 10MG EQUIVALENTE A ESTROGENOS CONJUGADOS 0.3 MG,1,N/A
72.9 ML DE ALCOHOL ETÍLICO AL 90%. EQUIVALENTES A ALCOHOL ETÍLICO,1,N/A
CALORIAS 200 CALORIAS EN 100 ML,1,N/A
CEFRADINA PRECOMPACTADA,1,N/A
CADA 100 ML DE SUSPENSION CONTIENE IBUPROFENO MICRONIZADO,1,N/A
METILPREDNISOLONA HIDROGENO SUCCINATO ANHIDRO 633.6 MG (EN EL PROCESO DE PRODUCCION SE TRANSFORMA EN METILPREDNISOLONA SUCCINATO DE SODIO)EQUIVALENTE A METILPREDNISOLONA 500 MG,1,N/A
ETINIL ESTRADIOL MICRONIZADO,1,N/A
CIANOCOBALAMINA USP 1 %,1,N/A
ESTEARATO DE ERITROMICINA 694.00MGEQUIVALENTE A ERITROMICINA,1,N/A
EPINEFRINA (EQUIVALENTE A 0.015MG DE CLORHIDRATO DE EPINEFIFINA),1,N/A
ACETAMINOFEN (COMPRESIÓN DIRECTA),1,N/A
VITAMINA A GRANULADA,1,N/A
ERITROPOYETINA HUMANA RECOMBIANTE (EPOTIN ALFA) (4000 UI),1,N/A
CLINDAMICINA CLORHIDRATO (EQUIVALENTE A 150 MG DE CLINDAMICINA BASE),1,N/A
METRONIDAZOL BENZOIL (EQUIVALENTE A 125 MG DE METRONIDAZOL BASE),1,N/A
HAEMOPHILUS INFLUENZAE,1,N/A
DEXTROSA H2O USP,1,N/A
FLUORURODE SODIO EQUIVALENTE AFLUOR,1,N/A
LACTOBACILLUS ACIDOPHILUS RO52 10% (DE LOS 59 MG ITEM1),1,N/A
VITAMINA D2 ERGOCALCIFEROL,1,N/A
GUAYACOLATO DE GLICERILO USP,1,N/A
IODO DE POTASIO (COMO IODO),1,N/A
CEFPIROMA SULFATO EQUIVALENTE A CEFPIROMA,1,N/A
ACIDO CITRICO ANHIDRO + ***,1,N/A
MONTELUKAST SODICO 4.15 MG (EQUIVALENTE A MONTELUKAST BASE),1,N/A
ACEITE DE HIGADO DE BACALAO (EQUIVALENTE A 127.5 U.I DE VITAMINA A Y 12.75 U.I. DE VITAMINA D),1,N/A
B. PERTUSIS <16 IOU(SUSP DE VACUNA),1,N/A
METRONIDAZOL BENZOILO4.083 G ( EQUIVALENTE A METRONIDAZOL BASE,1,N/A
FUMARATO FERROSO ( EQUIVALENTE A 20 MG DE HIERRO ),1,N/A
LEVADURA DE CERVEZA (SACHAROMYCES CEREVISIAE),1,N/A
TIZANIDINA CLORHIDRATO 2.293MG EQUIVALENTE A TIZANIDINA BASE,1,N/A
ACETATO DEOXITOCINAEQUIVALENTEAOXITOCINA,1,N/A
VITAMINAB 2 (RIBOFLAVINA BASE),1,N/A
AMOXICILINA TRIHIDRATADA MICRONIZADA EQUIVALENTE A AMOXICILINA BASE,1,N/A
AMPICILINA SODICA 1.06 G EQUIVALENTE A AMPICILINA BASE,1,N/A
DIPLOCOCCUS PNEUMONIAE,1,N/A
ESTREPTOCOCOS,1,N/A
OXIDO DE ZINC EQUIVALENTE A ZINC ELEMENTAL,1,N/A
DL- KAVAINA,1,N/A
GLUCONATO DE ZINC (EQUIVALENTE A 50.0 MG DE ZINC ELEMENTAL),1,N/A
FOSFATO DE DICALCICO (EQUIVALENTE A 162 MG DE CALCIO ELEMENTAL Y EQUIVALENTE A 125 MG DE FOSFORO ELEMENTAL),1,N/A
ÁCIDO ZOLEDRÓNICO MONOHIDRATO EQUIVALENTE A4.0 MG DE ÁCIDO ZOLEDRÓNICO ANHIDRO,1,N/A
SAW PALMETTO EXTRACTO ESTANDARIZADO (85%-95% DE ACIDOS GRASOS LIBRES),1,N/A
HIDROXIDO DE MAGNESIO (**),1,N/A
ASCORBATO DE SODIO 560 MG EQUIVALENTE A 500 MG DE ACIDO ASCORBICO,1,N/A
ACETATO SODICO 3H2OFOSFATO POTASICO DIBASICO,1,N/A
CLORHIDRATO DE LINCOMICINA MONOHIDRATADO FEU EQUIVALENTE A LINCOMICINA BASE,1,N/A
LEUCINA: 78.07,1,N/A
M-INOSITOL,1,N/A
ACIDO ASCORBICO CRISTALINO,1,N/A
ONDANSETRON CLORHIDRATO (10 MG) EQUIVALENTE A ONDANSETRON BASE 8 MG,1,N/A
NUCLEO :NISOLDIPINOMICROFINO,1,N/A
AMOXICILINA TRIHIDRATO 6026.58 MG EQUIVALENTE A AMOXICILINA,1,N/A
ASPARTAMO,1,N/A
CICLOFOSFAMIDAMONOHIDRATO 534.5 MG EQUIVALENTEA CICLOFOSFAMIDA,1,N/A
RIBOFLAVINA SODIO FOSFATO USP,1,N/A
DICLOFENACO DIETILAMINO EQUIVALENTE A 1.0 G DE DICLOFENACO SODICO,1,N/A
SALMETEROL XINAFOATO (72.5 MCG). EQUIVALENTE A SALMETEROL BASE,1,N/A
ACETAMINOFEN COMPRESION DIRECTA AL 90%. EQUIVALENTEAACETAMINOFENCOMPUESTO POR ACETAMINOFEN90%. ALMIDON7%. POLIVINIL PIRROLIDONA K30 1.5%. ACIDO ESTEARICO 0.5%. ALMIDON SODIO GLICOLATO 1%.,1,N/A
ACETATO DE VITAMINA E (VITAMINA E),1,N/A
LANSOPRAZOL EN MICROGRANULOS (ACTIVO:LANSOPRAZOL.EXCIP:ALMIDON MAIZ.SACAROSA.LAURILSULFATO SODIO.N-METILGLUCAMINA. MANITOL.TALCO.POLISORBATO 80.DIOXIDO TITANIO COLOIDAL. HIPROMELOSA.ACIDO METACRILICO.ACRILATO ETILO. PEG6000.TALCO.AGUA.ALCOHOL) EQUIVALE A,1,N/A
CALCIO CARBONATO ( EQUIVALENTE CA 2+500 MG.),1,N/A
ZINC EN FORMA DE ZINC SULFATO HIDRATADO,1,N/A
NAFAZOLINA CLORHIDRATO USP,1,N/A
ANTÍGENO HEPATITISA,1,N/A
FIMBRIAS(AGG 2+3),1,N/A
DL ALFA TOCOFERIL ACETATO 400 MG EQUIVALENTE A VITAMINA E,1,N/A
GM-CSF HUMANO. RECOMBINANTE,1,N/A
AMOXICILINA COMO TRIHIDRATO,1,N/A
VENLAFAXINA CLORHIDRATO 169.71 MG EQUIVALENTE A VENLAFAXINA,1,N/A
VITAMINA A ( ACETATO 500.000 UI/G)POLVO EQUIVALENTE A 5000UI.,1,N/A
DEXLANSOPRAZOL EC PELLETS 20% W/W 150 MG EQUIVALENTE A DEXLANSOPRAZOL,1,N/A
PAMOATO DE OXANTEL EQUIVALENTE AOXANTEL BASE,1,N/A
GLUCONATO FERROSO (COMO HIERRO ELEMENTAL),1,N/A
EXTRACTO DE FAVA TONKA MELILOTUS GINKYO,1,N/A
MUROMONAB CD3 ( ANTICUERPO MONOCLONAL MURINO),1,N/A
PANCREOLIPASA (EQUIVALENTE A:LIPASA 4000 U.I.. AMILASA 20000 U.I.. PROTEASA 25000 U.I.),1,N/A
PENICILINA GEQUIVALENTE A PENICILINA G BENZATINICA,1,N/A
LUTEÍNA,1,N/A
CIPROFLOXACINA CLORHIDRATO EQUIVALETNE A CIPROFLOXACINA BASE,1,N/A
HIERRO COMO HIERRO FERRONILO,1,N/A
VITAMINA E ACETATO 50% SF (APORTE DE VIT. E 30 U.I),1,N/A
SALBUTAMOL SULFATO MICRONIZADO EQUIVALENTE A SALBUTAMOL BASE,1,N/A
CLORURO MAGNESICO,1,N/A
CEFOTAXIME SAL SODICA (EQUIVALENTE A 1.000 G DE CEFOTAXIME),1,N/A
RIBOFLAVINA ( VITAMINA B2),1,N/A
EXTRACTO SECO DE ALCACHOFA,1,N/A
TERBINAFINA CLORHIDRATO (EQUIVALENTE A 250 MG DE TERBINAFINA),1,N/A
PANCREATINA EQUIVALENTE A LIPASA 12 UNIDADES. AMILASA 10 UNIDADES. PROTEASA 36 UNIDADES,1,N/A
AMPOLLA I : PIRIDOXINA CLORHIDRATO,1,N/A
CALCIO CARBONATO.EQUIVALENTE ACALCIO,1,N/A
BENCIDAMINA CLORHIDRATO ( 0.15 %9),1,N/A
LOXILAN EQUIVALENTE A YODO,1,N/A
RIBOFALBINA 5 FOSFATO SODICO,1,N/A
XINAFOATO SALMETEROL MICRONIZADO 72.5 MCG EQUIVALENTE A SALMETEROL BASE,1,N/A
FORMOTEROL FUMARATO DIHIDRATO EQUIVALENTE A FORMOTEROL FUMARATO,1,N/A
BENCILPENICILINA SODICA,1,N/A
IRINOTECAN CLORHIDRATO TRIHIDRATO EQUIVALENTE A IRINOTECAN CLORHIDRATO,1,N/A
MOLGRAMOSTIMA (RHUGM-CSF),1,N/A
FIBRINOGENO HUMANO,1,N/A
FOLINATO DE CALCIO,1,N/A
REMIFENTANILO CLORHIDRATO 5.48 MGEQUIVALENTE A REMIFENTANILO,1,N/A
ECONAZOL BASE,1,N/A
VIRUS POLIOMIELITICO TIPO 1,1,N/A
INDACATEROL MALEATO 0.194 MG EQUIVALENTE A INDACATEROL,1,N/A
NOMEGESTROL ACETATO (TABLETA 2),1,N/A
ESFINGOMIELINAEQUIVALENTE A FÓSFORO,1,N/A
COBRE SULFATO ANHIDRO,1,N/A
SULFATO DE MAGNESIO MONOHIDRATO EQUIVALENTE A 4.55 MG DE MAGNESIO,1,N/A
PROTEINAS (DEL SUERO DE LECHE Y PROTEINAS DE SOYA),1,N/A
MEGLUMINA* (*CORRESPONDIENTES A 26G DE IODAMIDA MEGLUMÍNICA),1,N/A
COBRE SULFATO MONOHIDRATADO EQUIVALENTE A COBRE,1,N/A
AMBROXOL CLORHIDRATO 0.308G(EXC),1,N/A
DIHIDROCODEINA BITARTRATO 13.92 MG EQUIVALENTE A DIHIDROCODEINA BITARTRATO,1,N/A
CEFAZOLINA SODICA ESTERIL (DCI) EQUIVALENTE A CEFAZOLINA,1,N/A
TIROSINA: 22.68,1,N/A
TIAMINA (MONONITRATODETIAMINA),1,N/A
FUMARATO DE FORMOTEROL DIHIDRATO,1,N/A
DONEPECILO,1,N/A
FOSFORO (FOSFATO DICALCICO),1,N/A
CHOLECALCIFEROL (VITAMINA D. 1.0 MUI/G),1,N/A
SOLUCION DE ALQUITRAN DE HULLA (COAL TAR SOLUTION USP),1,N/A
MONOHIDRATO DE CEFALEXINA EQUIVALENTE A 500.00 MG DE CEFALEXINA BASE,1,N/A
CLORURO DE MAGNESION HEXAHIDRATADO,1,N/A
SIMVASTATINA USP,1,N/A
SOMATROPINA RECOMBINANTE EXPRESADA COMO SOMATROPINA HUMANA (6 MG),1,N/A
VITAMINAC(COMO ACIDO ASCORBICO),1,N/A
DIPIRONASODICAMONOHIDRATO 1.0540 G (EQUIVALENTE A DIPIRONA SODICA),1,N/A
ACIDO PIPEMIDICO TRIHIDRATO472.0 MG (EQUIVALENTE A ACIDO PIPEMIDICO BASE,1,N/A
ERITROMICINA BASEF.E.U.,1,N/A
VITAMINA E (DLA TOCOFEROL ACETATO),1,N/A
ACIDO FOLICO FEU,1,N/A
SULFATO FERROSO HEPTAHIDRATADO 4875.0 MG. EQUIVALENTE A HIERRO ELEMENTAL,1,N/A
AMOXICILINA TRIHIDRATO 1148.0 - EQUIVALENTE AAMOXIXCILINA,1,N/A
BETAMETASONA DIPROPIONATO 0.065G EQUIVALENTE A BETAMETASONA BASE,1,N/A
APREPITANT (CÁPSULA DURA BLANCA Y AZUL),1,N/A
D. L ALFA CETOISOLEUCINA CALCICA,1,N/A
CEFRADINA MONOHIDRATO EQUIVALENTE A CEFRADINA ANHIDRA 1000 MG,1,N/A
AMOXICILINA EQUIVALENTE A AMOXICILINA BASE,1,N/A
RIBOFLAVINA (VITAMINA B-2),1,N/A
MILRINONA LACTATO EQUIVALENTE A MILRINONA 1 MG,1,N/A
GENTAMICINA (COMO SULFATO)* (* LA CANTIDAD DE GENTAMICINA SULFATO QUE SE EMPLEA DEPENDE DE LA POTENCIA OBTENIDA DURANTE LA VALORACION MICROBIOLOGICA DE LA MATERIA PRIMA),1,N/A
NELFINAVIR MESILATO 292.32 MG EQUIVALENTE A NELFINAVIR BASE,1,N/A
B/MASSACHUSETTS/2/2012,1,N/A
LEVADURA RICA EN SELENIO,1,N/A
SULFATO DE MANGANESO HIDRATADO,1,N/A
RANITIDINA CLORHIDRATO USP AL 87% 172.414 MG ( EQUIVALENTE A RANITIDINA BASE),1,N/A
FUMARATO FERROSO 54.76 MG. EQUIVALENTE A HIERRO,1,N/A
A/CALIFORNIA/7/2009 X-179A (H1N1).,1,N/A
FOLITROPINA ALFA,1,N/A
VITAMINA B2 (RIBOFLAVINA 5-FOSFATO SÓDICA),1,N/A
TRIMEPRIMINAMESILATO EQUIVALENTE A TRIMEPRIMINABASE,1,N/A
VENLAFAXINA CLORHIDRATO,1,N/A
TADALAFILO (MICRONIZADO),1,N/A
ACETATO DE MEDROXIPROGESTERONA FEU,1,N/A
NISTATINA (EQUIVALENTE A 10000000 DE UNIDADES),1,N/A
DICLOXACILINA SODICA MONOHIDRATO NO ESTERIL (EQUIVALENTE A 5.0 G DE DICLOXACILINA PURA),1,N/A
CLORHIDRATO DE ROPINIROL,1,N/A
ACIDO L- ASCORBICO,1,N/A
CITRATO DE SODIO TRISÓDICO DIHIDRATADO,1,N/A
PINAVERIO BROMURO,1,N/A
HIDROXIDO DE MAGNESIO (APORTE DE MG 100 MG),1,N/A
CLAVULONATO DE POTASIO EQUIVALENTE A ACIDO CLAVULANICO,1,N/A
ÁCIDO ZOLEDRÓNICO ANHIDRO,1,N/A
CLORHIDRATO DE DOBUTAMINA EQUIVALENTE A DOBUTAMINA BASE,1,N/A
AMLODIPINO BESILATO EQUIVALENTE AAMLODIPINO BASE,1,N/A
TERAZOSINA CLORHIDRATO,1,N/A
CALCIO CARBONATO PURISIMO (EQUIVALENTE A 333.3 MG. DE CALCIO),1,N/A
ESCINA,1,N/A
FLOR DE AZAHAR (CITRUS SINENSIS),1,N/A
VITAMINA D 3 HIDROSOLUBLE (EQUIVALENTE A 8.000 U.I. DE VITAMINA D),1,N/A
LISINA(EQUIVALENTE A ACETATO DE LISINA 0.365 G),1,N/A
OXIDO DE HIERRO (I I) USP,1,N/A
SULBACTAM SODICO (EQUIVALENTE A SULBACTAM BASE,1,N/A
LISINA ACETATO 756 MG EQUIVALENTE A LISINA,1,N/A
FACTOR ANTIHEMOFILICO (HUMANO) MONOCLONADO 220 - 1700 UI,1,N/A
CEFRADINA 91.7%(EQUIVALENTE A 500MG DE CEFRADINA BASE),1,N/A
VITAMINA A (PALMITATO DE),1,N/A
EXTRACTO ESTANDARIZADO DE PYGEUM AFRICANUM,1,N/A
TRICINA,1,N/A
TUBERCULINA PPD (DERIVADO PROTEICO PURIFICADO),1,N/A
DEXTROMETORFANO BROMHIDRATO (15 MG) EQUIVALENTE A DEXTROMETORFANO BASE,1,N/A
LEVOCABASTINA (LEVOCABASTINA CLORHIDRATO),1,N/A
INMUNOGLOBULINA ANTILINFOCITARIA DE ORIGEN EQUINO 100MG.,1,N/A
OMEPRAZOL (EN FORMA DE MICROGRANULOS),1,N/A
VITAMINA E (ACETATO DE DL ALPHA TOCOFERILO) EQUIVALENTE A 400 UI DE VITAMINA E,1,N/A
CIPROFLOXACINACLORHIDRATO MONOHIDRATADO EQUIVALENTE A 750.00 MG DE CIPROFLOXACINA BASE,1,N/A
FOSFATO DE CODEINA HEMIHIDRATADO,1,N/A
LISINOPRIL ANHIDRO 20 MG,1,N/A
GEMCITABINA,1,N/A
INMUNOGLOBULINA HUMANA G,1,N/A
BUPIVACAINA CLORHIDRATO 5.28 MG EQUIVALENTE A BUPIVACAINA CLORHIDRATO ANHIDRIDA,1,N/A
AMOXICILINA TRIHIDRATO5.74 G EQUIVALENTE A AMOXICILINA BASE,1,N/A
SILDENAFILO CITRATO 140.5 MG EQUIVALENTES A SILDENAFILO,1,N/A
VITAMINA E ACETATO SECO,1,N/A
LEVOMEPROMAZINA MALEATO HIDROGENO EQUIVALENTE A 25.0 MG DE LEVOMEPROMAZINA,1,N/A
ACEBUTOLOL CLORHIDRATO,1,N/A
PENICILINAGSÓDICA1800 MG (CONACTIVIDADADE1667U.I./ MG),1,N/A
GLUCONATO DE CALCIO ANHIDRO USP,1,N/A
NIFEDIPINO (EN MICROGRANULOS DE LIBERACIÓN EXTENDIDA),1,N/A
SALBUTAMOL SULFATO COMO SLBUTAMOL (MICRONIZADO),1,N/A
ACETATO DE CIPROTERONA MICRONIZADO,1,N/A
VIAL 2- ACETATO SODICO TRIHIDRATADO,1,N/A
OLOPATADINA BASE,1,N/A
NEUMOBACILOS DEFRIEDLANDER,1,N/A
VALPROATO DE MAGNESIO 4.0 GEQUIVALENTE A ACIDO VALPROICO,1,N/A
ACETAMINOFENU.S.P,1,N/A
AMILASA( SE REPORTAN VALORES EN FIP (UNIDADES DE FEDERACIÓN INTERNACIONAL)),1,N/A
TERBUTALINA SULFATO EQUIVALENTE ATERBUTALINA,1,N/A
BOLSA DE CLORURO DE SODIO QUE APORTA,1,N/A
BETAXOLOL CLORHIDRATO EQUIVALENTE A BETAXOLOL,1,N/A
SOMATROPINA DE CELULAS DE MAMIFERO (ORIGEN R.DNA),1,N/A
BUTRIPTILINA CLORHIDRATO EQUIVALENTE A BUTRIPTILINA BASE,1,N/A
SULFATO DE COBRE ANHIDRO 5.030 MGEQUIVALENTE ACOBRE,1,N/A
CROMO AMINOACIDO QUELATO 10 % (APORTANDO 0.025 MG DE CROMO),1,N/A
VITAMINAAACETATO,1,N/A
ACETATO DE CALCIO 100% +,1,N/A
ACIDO SALICÍLICO USP,1,N/A
MONTELUKAST SÓDICO 5.2 MG EQUIVALENTES A MONTELUKAST,1,N/A
SUERO DE LECHE,1,N/A
EXTRACTO ESTANDARIZADO DE GINKGO BILOBA( EQUIVALENTE A GLUCÓSIDOS FLAVÓNICOSDE GINKGO 19.20 MG),1,N/A
DEXTROCLORFENIRAMINAMALEATO,1,N/A
DEXAMETASONA SODIO FOSFATO (EQUIVALENTE A 0.04 G DE DEXAMETASONA BASE),1,N/A
VITAMINA E (ACETATO DE L ALFA TOCOFERILO) 417.0 MG,1,N/A
ACIDO OROTICO ANHIDRO,1,N/A
CEFIXIMA TRIHIDRATADA (EQUIVALENTE A CEFIXIMA),1,N/A
SULFAFAMETOXAZOL,1,N/A
MICROGRANULOS DE OMEPRAZOL,1,N/A
PIRANTEL BASE(COMO PAMOATO),1,N/A
RANITIDINA CLORHIDRATO (EQUIVALENTE A RANITIDINA 150 MG),1,N/A
DIPIRONA SÓDICA EN BASE SECA,1,N/A
DEXTROSA MONOHIDRATADA EQUIVALENTE A DEXTROSA ANHIDRA,1,N/A
QUERCETIN,1,N/A
AMOROLFINA CLORHIDRATO EQUIVALENTE A AMOROLFINA BASE,1,N/A
HIDROXIETIL ALMIDON (200/0.5),1,N/A
BROMHEXINA,1,N/A
SULFATO DE NEOMICINA EQUIVALENTE A NEOMICINA BASE,1,N/A
L- ARGININA USP,1,N/A
NEOMICINA SULFATOEQUIVALENTE A NEOMICINA BASE,1,N/A
SODIO BORATO EQUIVALENTE A BORO,1,N/A
LACTOALBUMINA,1,N/A
VITAMINA D3 (COLECALCIFEROL) EQUIVALENTE A VITAMINA D3,1,N/A
SODIUM GLUCURONATE(URONIC ACID).RHAMNOSE (METHYL PEMTOSE).CRYSTALLINE BOVINE SERUM ALBUMIN ( PROTEIN).,1,N/A
VITAMINA D3 (COLECALCIFEROL DE 1000000 U.I),1,N/A
KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO 1 MG,1,N/A
NITROGLICERINA DILUIDA (AL 5% EN PROPILENGLICOL) EQUIVALENTE A,1,N/A
ASCORBATO DE SODIO EQUIVALENTEA 500 MG DE ACIDO ASCORBICO,1,N/A
VITAMINAD (COMO COLECALCIFEROL 10 MG),1,N/A
AMINOACIDOS ESENCIALES: ISOLEUCINA,1,N/A
PANTOTENATO DE CALCIO EQUIVALENTEÁCIDO PANTOTÉNICO,1,N/A
CIPROFLOXACINO CLORHIDRATO MONOHIDRATO EQUIVALENTE A CIPROFLOXACINO BASE ANHIDRA,1,N/A
CLARITROMICINA EN FORMA DE GRANULOS RECUBIERTOS,1,N/A
BETAMETASONA FOSFATO DISÓDICO 5.30MGEQUIVALENTESA BETAMETASONABASE,1,N/A
AMPICILINA SODICA ESTERIL USP (EQUIVALENTE A AMPICILINA),1,N/A
ACIDO ACETICO GLACIAL GR EQUIVALENTE A ACETATO DE ALUMINIO 0.059,1,N/A
CEFRADINA MONOHIDRATOEQUIVALENTE A CEFRADINA BASE,1,N/A
MEROPENEM TRIHIDRATO,1,N/A
VIRUS POLIO TIPO 2 ATENUADO (CEPA P712. CH 2AB),1,N/A
METOCLOPRAMIDA MONOCLORHIDRATOEQUIVALENTE A METOCLOPRAMIDA,1,N/A
VITAMINA A COMO PALMITATO,1,N/A
VITAMINA E(ACETATO DE DL-ALFA TOCOFERILO),1,N/A
CLORURO DE POTASIO EQUIVALENTE ACLORURO,1,N/A
ASCORBATO DE SODIO EQUIVALENTE A ÁCIDO ASCÓRBICO,1,N/A
CEFEPIMA CLORHIDRATO EQUIVALENTE A CEFEPIMA BASE ANHIDRA,1,N/A
BORDETELLA PERTUSSIS INACTIVADO MIN,1,N/A
CIPROFLOXACINA CLORHIDRATO EQUIVALENTE A DE CIPROFLOXACINA BASE,1,N/A
L- ISOLEUCINA USP,1,N/A
CLORHIDRATO DE ONDANSETRON DIHIDRATO EQUIVALENTE A ONDANSETRON,1,N/A
VILTAMINA E,1,N/A
TIAMINA CLORHIDRATO 100 MG,1,N/A
CADA 100 ML CONTIENE: NAFAZOLINA CLORHIDRATO,1,N/A
SULFAT DE MANGANESO HIDRATADO EQUIVALENTE A MANGANESO,1,N/A
OXIBUTININA CLORHIDRATO EQUIVALENTE A OXIBUTININA,1,N/A
PENICILINA G BENZATINICA ESTERIL EQUIVALENTE A PENICILINA G,1,N/A
DEXAMETASONA FOSFATO DISODICA,1,N/A
CADA ML. CONTIENE: POTASIO CLORURO EQUIVALENTE A POTASIO 20 MEQ.,1,N/A
LISINOPRIL BIHIDRATO CORRESPNDE A 5 MG DE LISINOPRIL ANHIDRO,1,N/A
CLAVULANATO DE POTASIO (EQUIVALENTE A ÁCIDO CLAVULÁNICO ANHIDRO 125MG),1,N/A
DESMOPRESINA ACETATO BP,1,N/A
ATAZANAVIR SULFATO 228MG. EQUIVALENTE AATAZANAVIR BASE,1,N/A
INMONUGLOBULINA G FUNCIONALMENTE INTACTA,1,N/A
CLEMBUTEROL,1,N/A
CALCIUM CHLORIDE,1,N/A
NISTATINA(10.000.000 U. I. ),1,N/A
PIRIDOINA CLORHIDRATO,1,N/A
CLORURO DE SODIOION DE SODIO 134.0 MMOL/L (134.0MEQ/L),1,N/A
SALBUTAMOL BASE MICRONIZADO,1,N/A
RANITIDINA CLORHIDRATO (EQUIVALENTE A 150 MG DE RANITIDINA BASE),1,N/A
KETOPROFENO USP MICRONIZADO,1,N/A
DIFOSFATO DE CALCIO DIHIDRATO,1,N/A
ACEITE DE SILICONA AK-100 0.047MG. ISOPROPANOL* 8.2 MG. AGUA DESMINERALIZADA 26.86* * SE PIERDE EN EL PROCESO.,1,N/A
SULAFATO DE ZINC HEPTAHIDRATADO EQUIVALENTE A ZINC,1,N/A
OXIDO DE ZINC (80.35% ZN) EQUIVALENTE A ZINC,1,N/A
BIOTINA AL 1 % ( EQUIVALENTE A 190 MCGDE BIOTINA ),1,N/A
CLORHEXIDINA DIGLUCONATO (SOLUCIÓN AL 20%),1,N/A
IDARUBICINACLORHIDRATO,1,N/A
DICLORHIDRATO DE MITOXANTRONA (EQUIVALENTE A 20.0 MG DE MITOXANTRONA BASE),1,N/A
SODIO MOLIBDATO EQUIVALENTE A MOLIBDENO,1,N/A
ACIDO L-ASCORBICO VITAMINA C,1,N/A
